#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: alpha in the simple power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the simple power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the simple power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Simple power-law (PL) equation: f = norm*(E/enorm)^{alpha}
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180314B   |    814305    | -2.210270e+00 | -2.631940e+00 | -1.846050e+00 | 7.807300e-03 | 5.657480e-03 | 9.842350e-03 | 58.09 | 57 | 1.019 | 4.348104e-01 | 50.0000 | 1 | -0.348000 | 0.652000 |  
GRB180314A   |    814129    | -1.532710e+00 | -1.633740e+00 | -1.432700e+00 | 6.280880e-02 | 5.823390e-02 | 6.737960e-02 | 95.55 | 57 | 1.676 | 1.046342e-03 | 50.0000 | 1 | 3.052000 | 4.052000 |  
GRB180311A   |    813721    | -1.496760e+00 | -1.961350e+00 | -1.040500e+00 | 4.649300e-03 | 3.305250e-03 | 5.965290e-03 | 58.46 | 57 | 1.026 | 4.214304e-01 | 50.0000 | 1 | 2.876000 | 3.876000 |  
GRB180224A   |    811561    | -1.898840e+00 | -2.140230e+00 | -1.671390e+00 | 9.997950e-03 | 8.398390e-03 | 1.155510e-02 | 48.72 | 57 | 0.8548 | 7.742589e-01 | 50.0000 | 1 | 0.396000 | 1.396000 |  
GRB180222A   |    811235    | -8.869580e-01 | -1.269850e+00 | -4.662570e-01 | 6.268800e-03 | 4.863570e-03 | 7.630840e-03 | 58.40 | 57 | 1.025 | 4.238113e-01 | 50.0000 | 1 | 3.284000 | 4.284000 |  
GRB180221A   |    811074    | -1.541940e+00 | -2.150640e+00 | -9.834180e-01 | 1.169370e-02 | 7.604320e-03 | 1.562240e-02 | 74.51 | 57 | 1.307 | 5.960393e-02 | 50.0000 | 1 | 2.656000 | 3.656000 |  
GRB180205A   |    808625    | -1.724930e+00 | -1.871240e+00 | -1.582660e+00 | 2.517200e-02 | 2.286520e-02 | 2.745400e-02 | 68.73 | 57 | 1.206 | 1.372523e-01 | 50.0000 | 1 | -0.196000 | 0.804000 |  
GRB180204A   |    808483    | -9.732110e-01 | -1.092640e+00 | -8.515580e-01 | 3.162070e-02 | 2.939800e-02 | 3.383760e-02 | 62.66 | 57 | 1.099 | 2.823572e-01 | 50.0000 | 1 | -0.052000 | 0.948000 |  
GRB180115A   |    805318    | -1.450620e+00 | -2.078810e+00 | -7.904600e-01 | 4.680210e-03 | 3.143630e-03 | 6.153240e-03 | 45.02 | 57 | 0.7898 | 8.746242e-01 | 50.0000 | 1 | 30.752000 | 31.752000 |  
GRB180113A   |    804999    | -9.671010e-01 | -1.097900e+00 | -8.334600e-01 | 2.173290e-02 | 2.001340e-02 | 2.344760e-02 | 69.01 | 57 | 1.211 | 1.323136e-01 | 50.0000 | 1 | 10.524000 | 11.524000 |  
GRB180111A   |    804692    | -9.711510e-01 | -1.066160e+00 | -8.749990e-01 | 4.252080e-02 | 4.024540e-02 | 4.478930e-02 | 52.91 | 57 | 0.9283 | 6.291242e-01 | 50.0000 | 1 | 13.888000 | 14.888000 |  
GRB180103A   |    803066    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB180102A   |    802999    | -1.521030e+00 | -1.773740e+00 | -1.277030e+00 | 7.852580e-03 | 6.660230e-03 | 9.026900e-03 | 52.24 | 57 | 0.9164 | 6.540353e-01 | 50.0000 | 1 | 0.800000 | 1.800000 |  
GRB171222A   |    799669    | -2.127010e+00 | -2.878570e+00 | -1.544520e+00 | 4.191650e-03 | 2.252540e-03 | 5.959210e-03 | 39.65 | 57 | 0.6957 | 9.610044e-01 | 50.0000 | 1 | 61.344000 | 62.344000 |  
GRB171216A   |    797441    | -1.328600e+00 | -1.759740e+00 | -8.857410e-01 | 6.902010e-03 | 5.191550e-03 | 8.610680e-03 | 44.98 | 57 | 0.7891 | 8.755156e-01 | 50.0000 | 1 | 3.052000 | 4.052000 |  
GRB171212A   |    796778    | -2.254970e+00 | -2.811300e+00 | -1.797070e+00 | 4.067980e-03 | 2.514850e-03 | 5.572850e-03 | 54.14 | 57 | 0.9499 | 5.829448e-01 | 50.0000 | 1 | 90.676000 | 91.676000 |  
GRB171211A   |    796469    | -1.551970e+00 | -1.751370e+00 | -1.356220e+00 | 1.785370e-02 | 1.558620e-02 | 2.010360e-02 | 74.75 | 57 | 1.311 | 5.738340e-02 | 50.0000 | 1 | 0.036000 | 1.036000 |  
GRB171209A   |    796100    | -1.440240e+00 | -1.635060e+00 | -1.248400e+00 | 1.193170e-02 | 1.051810e-02 | 1.333310e-02 | 47.84 | 57 | 0.8393 | 8.010027e-01 | 50.0000 | 1 | 79.516000 | 80.516000 |  
GRB171205A   |    794972    | -1.986780e+00 | -2.801910e+00 | -1.398140e+00 | 6.393690e-03 | 3.605770e-03 | 8.663630e-03 | 63.76 | 57 | 1.119 | 2.509096e-01 | 50.0000 | 1 | 49.076000 | 50.076000 |  
GRB171123A   |    791922    | -1.661390e+00 | -2.071860e+00 | -1.281900e+00 | 6.190990e-03 | 4.744360e-03 | 7.552210e-03 | 55.46 | 57 | 0.9731 | 5.328589e-01 | 50.0000 | 1 | -0.268000 | 0.732000 |  
GRB171120A   |    791201    | -1.652340e+00 | -1.720480e+00 | -1.584730e+00 | 7.149410e-02 | 6.857100e-02 | 7.441180e-02 | 58.06 | 57 | 1.019 | 4.358590e-01 | 50.0000 | 1 | 39.972000 | 40.972000 |  
GRB171115A   |    790053    | -1.781180e+00 | -2.330600e+00 | -1.295770e+00 | 4.237540e-03 | 2.882080e-03 | 5.486180e-03 | 52.86 | 57 | 0.9274 | 6.310103e-01 | 50.0000 | 1 | -2.324000 | -1.324000 |  
GRB171103A   |    785850    | -1.153120e+00 | -1.288210e+00 | -1.016770e+00 | 3.061850e-02 | 2.832860e-02 | 3.290780e-02 | 56.58 | 57 | 0.9927 | 4.906342e-01 | 50.0000 | 1 | -0.372000 | 0.628000 |  
