#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180402A   |    821103    | 3.604480e-01 | 2.321680e-01 | 5.096160e-01 | 5.263210e-01 | 4.036640e-01 | 6.460860e-01 | 5.726520e-01 | 4.772110e-01 | 6.671390e-01 | 3.580600e-01 | 2.666590e-01 | 4.571140e-01 | 1.165860e+00 | 7.760880e-01 | 1.684540e+00 | 1.817480e+00 | 1.508860e+00 | 2.128630e+00 | 2.625280e+00 | 2.169040e+00 | 3.117400e+00 | 1 | -0.340000 | 0.660000 |  
GRB180331B   |    820513    | 1.295090e+00 | 1.096610e+00 | 1.499090e+00 | 9.386770e-01 | 8.333890e-01 | 1.043940e+00 | 4.507460e-01 | 3.701130e-01 | 5.321550e-01 | 1.452760e-01 | 1.074610e-01 | 1.878680e-01 | 3.057950e-01 | 2.139220e-01 | 4.176470e-01 | 2.829770e+00 | 2.511060e+00 | 3.148580e+00 | 2.990270e+00 | 2.654510e+00 | 3.326180e+00 | 1 | 0.988000 | 1.988000 |  
GRB180331A   |    820347    | 1.355740e-01 | 7.446440e-02 | 2.070710e-01 | 1.699450e-01 | 1.161350e-01 | 2.226120e-01 | 1.551040e-01 | 1.099270e-01 | 1.997130e-01 | 8.436810e-02 | 5.027730e-02 | 1.235700e-01 | 2.467650e-01 | 1.273790e-01 | 4.207440e-01 | 5.449970e-01 | 3.971380e-01 | 6.938590e-01 | 7.073570e-01 | 5.148980e-01 | 9.075160e-01 | 1 | 8.084000 | 9.084000 |  
GRB180329B   |    819490    | 6.050970e-01 | 3.578770e-01 | 8.669600e-01 | 4.777820e-01 | 3.349810e-01 | 6.203690e-01 | 2.539510e-01 | 1.293540e-01 | 3.771560e-01 | 8.904110e-02 | 3.202750e-02 | 1.658130e-01 | 1.961720e-01 | 5.913220e-02 | 4.284420e-01 | 1.425880e+00 | 1.000620e+00 | 1.851130e+00 | 1.533010e+00 | 1.067760e+00 | 2.001670e+00 | 1 | 1.564000 | 2.564000 |  
GRB180329A   |    819301    | 9.562440e-02 | 2.418610e-02 | 2.018370e-01 | 1.303410e-01 | 5.732690e-02 | 1.937880e-01 | 1.310090e-01 | 7.680360e-02 | 1.775520e-01 | 7.695400e-02 | 0.000000e+00 | 1.319500e-01 | 2.385440e-01 | 6.646700e-02 | 5.940820e-01 | 4.339110e-01 | 2.710630e-01 | 5.962740e-01 | 5.951060e-01 | 3.834600e-01 | 8.595830e-01 | 1 | 0.496000 | 1.496000 |  
GRB180325A   |    817564    | 1.065270e-03 | N/A | N/A | 1.087120e-02 | N/A | N/A | 1.194340e-01 | N/A | N/A | 5.001040e-01 | N/A | N/A | 1.288200e+01 | N/A | N/A | 5.321260e-01 | N/A | N/A | 1.272550e+01 | N/A | N/A | 1 | 80.752000 | 81.752000 |  
GRB180324A   |    817345    | 1.116390e+00 | 9.900520e-01 | 1.248030e+00 | 1.371630e+00 | 1.275590e+00 | 1.466920e+00 | 1.223180e+00 | 1.139240e+00 | 1.306470e+00 | 6.531600e-01 | 5.829580e-01 | 7.257100e-01 | 1.884640e+00 | 1.620760e+00 | 2.173540e+00 | 4.364350e+00 | 4.100550e+00 | 4.628420e+00 | 5.595830e+00 | 5.242590e+00 | 5.953530e+00 | 1 | -0.128000 | 0.872000 |  
GRB180316A   |    814677    | 8.785250e-01 | 6.523000e-01 | 1.123600e+00 | 1.053960e+00 | 8.790970e-01 | 1.224760e+00 | 9.143050e-01 | 7.811100e-01 | 1.045830e+00 | 4.775690e-01 | 3.724210e-01 | 5.907030e-01 | 1.356110e+00 | 9.783200e-01 | 1.820870e+00 | 3.324360e+00 | 2.858880e+00 | 3.792530e+00 | 4.202900e+00 | 3.639520e+00 | 4.771570e+00 | 1 | 1.272000 | 2.272000 |  
GRB180314B   |    814305    | 6.386690e-01 | 4.717450e-01 | 8.140330e-01 | 4.237780e-01 | 3.406840e-01 | 5.063300e-01 | 1.831630e-01 | 1.194070e-01 | 2.489480e-01 | 5.406560e-02 | 2.797960e-02 | 8.790220e-02 | 1.088080e-01 | 5.044130e-02 | 1.960230e-01 | 1.299670e+00 | 1.048990e+00 | 1.550480e+00 | 1.354420e+00 | 1.093600e+00 | 1.615480e+00 | 1 | -0.348000 | 0.652000 |  
GRB180314A   |    814129    | 2.667310e+00 | 2.373100e+00 | 2.969990e+00 | 2.633020e+00 | 2.430680e+00 | 2.834720e+00 | 1.820220e+00 | 1.667030e+00 | 1.972660e+00 | 7.917020e-01 | 6.961210e-01 | 8.904810e-01 | 1.984570e+00 | 1.691050e+00 | 2.301320e+00 | 7.912170e+00 | 7.325310e+00 | 8.499540e+00 | 9.105030e+00 | 8.447280e+00 | 9.762970e+00 | 1 | 3.052000 | 4.052000 |  
