#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180404A   |    821881    | 4.886460e-01 | 3.822600e-01 | 5.663850e-01 | 4.439100e-01 | 3.877590e-01 | 5.159820e-01 | 2.781770e-01 | 2.286560e-01 | 3.294500e-01 | 1.116120e-01 | 5.845090e-02 | 1.345240e-01 | 2.657210e-01 | 9.770460e-02 | 3.259290e-01 | 1.322350e+00 | 1.152520e+00 | 1.487750e+00 | 1.476170e+00 | 1.211710e+00 | 1.661720e+00 | 1 | 1.992000 | 2.992000 |  
GRB180402A   |    821103    | 3.618260e-01 | 1.849490e-01 | 5.091000e-01 | 5.263690e-01 | 4.036770e-01 | 6.466700e-01 | 5.720430e-01 | 4.774400e-01 | 6.939810e-01 | 3.596100e-01 | 2.419680e-01 | 4.590470e-01 | 1.189390e+00 | N/A | N/A | 1.820010e+00 | 1.498840e+00 | 2.128420e+00 | 2.656660e+00 | 1.763250e+00 | 3.078560e+00 | 1 | -0.340000 | 0.660000 |  
GRB180331B   |    820513    | 1.180980e+00 | 9.541210e-01 | 1.408640e+00 | 1.069000e+00 | 9.184990e-01 | 1.227340e+00 | 4.412230e-01 | 3.347540e-01 | 5.385020e-01 | 6.763030e-02 | 2.086860e-02 | 1.400740e-01 | 8.366340e-02 | 0.000000e+00 | 2.456330e-01 | 2.758830e+00 | 2.433990e+00 | 3.083750e+00 | 2.774860e+00 | 2.441030e+00 | 3.118140e+00 | 1 | 0.988000 | 1.988000 |  
GRB180331A   |    820347    | 8.720010e-02 | 2.030620e-02 | 1.744490e-01 | 1.918190e-01 | 1.244030e-01 | 2.613990e-01 | 1.824630e-01 | 1.255290e-01 | 2.424070e-01 | 4.626950e-02 | 0.000000e+00 | 1.028860e-01 | 5.868010e-02 | 0.000000e+00 | 2.955870e-01 | 5.077510e-01 | 3.528500e-01 | 6.636530e-01 | 5.201620e-01 | 3.545040e-01 | 7.728800e-01 | 1 | 8.084000 | 9.084000 |  
GRB180329B   |    819490    | 6.218440e-01 | N/A | N/A | 4.688450e-01 | 2.381820e-01 | 6.512600e-01 | 2.496970e-01 | 1.296100e-01 | 3.207920e-01 | 8.890790e-02 | 4.109730e-02 | 1.133030e-01 | 2.101860e-01 | 7.689060e-02 | 2.674100e-01 | 1.422200e+00 | 7.227210e-01 | 1.851150e+00 | 1.534210e+00 | 1.068020e+00 | 1.996800e+00 | 1 | 1.564000 | 2.564000 |  
GRB180329A   |    819301    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 0.496000 | 1.496000 |  
GRB180325A   |    817564    | 1.859390e+00 | 1.656830e+00 | 2.010760e+00 | 2.744120e+00 | 2.602000e+00 | 2.852470e+00 | 2.957540e+00 | 2.818180e+00 | 3.081880e+00 | 1.851000e+00 | 1.660660e+00 | 1.904700e+00 | 5.868120e+00 | 4.318430e+00 | 6.314250e+00 | 9.325530e+00 | 8.972810e+00 | 9.659160e+00 | 1.296850e+01 | 1.182290e+01 | 1.386150e+01 | 1 | 80.752000 | 81.752000 |  
GRB180324A   |    817345    | 1.030800e+00 | 8.665100e-01 | 1.201320e+00 | 1.396520e+00 | 1.293610e+00 | 1.500690e+00 | 1.270030e+00 | 1.166790e+00 | 1.375160e+00 | 6.080330e-01 | 5.134410e-01 | 7.009510e-01 | 1.383790e+00 | 9.367230e-01 | 1.772120e+00 | 4.305390e+00 | 4.030480e+00 | 4.580160e+00 | 5.081130e+00 | 4.539470e+00 | 5.775800e+00 | 1 | -0.128000 | 0.872000 |  
GRB180316A   |    814677    | 8.964510e-01 | 6.499930e-01 | 1.124520e+00 | 1.051530e+00 | 9.113010e-01 | 1.240160e+00 | 9.100770e-01 | 7.788730e-01 | 1.065140e+00 | 4.790630e-01 | 3.303080e-01 | 5.992630e-01 | 1.357740e+00 | 7.556190e-01 | 1.812030e+00 | 3.328710e+00 | 2.849790e+00 | 3.799980e+00 | 4.246340e+00 | 3.287450e+00 | 4.737860e+00 | 1 | 1.272000 | 2.272000 |  
GRB180314B   |    814305    | 6.199040e-01 | N/A | N/A | 4.375710e-01 | N/A | N/A | 1.845580e-01 | 1.168390e-01 | 2.536700e-01 | 4.680920e-02 | 0.000000e+00 | 8.359270e-02 | 7.965040e-02 | 0.000000e+00 | 1.839120e-01 | 1.289000e+00 | 1.035430e+00 | 1.537370e+00 | 1.320810e+00 | N/A | N/A | 1 | -0.348000 | 0.652000 |  
GRB180314A   |    814129    | 1.717990e+00 | 1.379420e+00 | 2.073580e+00 | 3.278280e+00 | 3.004510e+00 | 3.556770e+00 | 2.359870e+00 | 2.141500e+00 | 2.581420e+00 | 3.933940e-01 | 2.785600e-01 | 5.209100e-01 | 4.571590e-01 | 3.066430e-01 | 6.509970e-01 | 7.749530e+00 | 7.161650e+00 | 8.340150e+00 | 7.813300e+00 | 7.207850e+00 | 8.423720e+00 | 1 | 3.052000 | 4.052000 |  
